wall,5,14
wall,6,14
wall,7,14
wall,8,14
wall,9,14
wall,10,14
wall,11,14
wall,12,14
wall,13,14
wall,14,14
wall,15,14
wall,16,14
wall,17,14
wall,18,14
wall,19,14
wall,20,14
wall,21,14
wall,22,14
wall,23,14
wall,24,14
wall,25,14
wall,26,14
wall,27,14
wall,28,14
wall,29,14
wall,30,14
wall,31,14
wall,32,14
wall,33,14
wall,34,14
wall,34,15
wall,34,16
wall,34,17
wall,34,18
wall,34,19
wall,34,20
wall,34,21
wall,34,22
wall,33,22
wall,32,22
wall,31,22
wall,30,22
wall,29,22
wall,28,22
wall,27,22
wall,26,22
wall,25,22
wall,24,22
wall,23,22
wall,22,22
wall,21,22
wall,20,22
wall,19,22
wall,18,22
wall,17,22
wall,16,22
wall,15,22
wall,14,22
wall,13,22
wall,12,22
wall,11,22
wall,10,22
wall,9,22
wall,8,22
wall,7,22
wall,6,22
wall,5,22
wall,5,21
wall,5,20
wall,5,19
wall,5,18
wall,5,17
wall,5,16
wall,5,15
wall,14,15
wall,14,16
wall,14,17
wall,14,21
wall,14,20
wall,28,15
wall,28,16
wall,28,17
wall,28,21
wall,28,20
wall,16,17
wall,16,16
wall,17,16
wall,17,17
wall,17,18
wall,17,19
wall,17,20
wall,16,19
wall,16,18
wall,16,20
wall,25,16
wall,25,17
wall,25,18
wall,25,19
wall,25,20
wall,26,19
wall,26,18
wall,26,17
wall,26,16
wall,26,20
target,32,18
target,21,18
target,10,18
spawn,7,18
